k	L	method	density	density_std				
11	60	random	0.0391365	0.000757208	0.0699	0.00122066	0	0
11	60	decycling	0.036817	0.000236437	0.2887	0.0021	0	0
11	60	double	0.0365939	0.000380177	0.3377	0.0009	0	0
11	60	decycling_set	0.0366307	0.000297434	0.1223	0.00257099	0	0
11	60	pasha	0.0380276	0.000507976	0.1225	0.00111803	0	0
11	60	docks	0.0379095	0.000621284	0.1235	0.00257876	0	0
11	70	random	0.0334755	0.00142112	0.0694	0.00174356	0	0
11	70	decycling	0.0310954	0.000320461	0.2873	0.00141774	0	0
11	70	double	0.0310473	0.000190451	0.337	0.000894427	0	0
11	70	decycling_set	0.0310108	0.000181828	0.1178	0.00305941	0	0
11	70	pasha	0.0320923	0.000597964	0.122	0.00407431	0	0
11	70	docks	0.0315238	0.000363285	0.1215	0.00332415	0	0
11	80	random	0.0292654	0.00145634	0.069	0.00148324	0	0
11	80	decycling	0.0271358	0.000285486	0.2865	0.00136015	0	0
11	80	double	0.0271116	0.000311389	0.3374	0.000663325	0	0
11	80	decycling_set	0.0271245	0.000310085	0.118	0.000894427	0	0
11	80	pasha	0.0274139	0.000523903	0.1214	0.00440908	0	0
11	80	docks	0.0272665	0.000249661	0.1207	0.00118743	0	0
11	90	random	0.0252356	0.000991003	0.0676	0.00135647	0	0
11	90	decycling	0.0238284	0.000210259	0.2867	0.00155242	0	0
11	90	double	0.0238024	0.000225179	0.3361	0.000830662	0	0
11	90	decycling_set	0.0237917	0.000230823	0.1169	0.00144568	0	0
11	90	pasha	0.0243941	0.000505836	0.1222	0.003995	0	0
11	90	docks	0.0240132	0.00020178	0.1191	0.000943398	0	0
11	100	random	0.0223801	0.000629836	0.0715	0.00128452	0	0
11	100	decycling	0.0213522	0.000191355	0.2855	0.000921954	0	0
11	100	double	0.0216204	0.000320178	0.338	0.00409878	0	0
11	100	decycling_set	0.0212816	0.00015593	0.1165	0.00320156	0	0
11	100	pasha	0.0218611	0.000429716	0.1193	0.00195192	0	0
11	100	docks	0.0215798	0.000289273	0.1163	0.00286531	0	0
11	110	random	0.0202276	0.000818844	0.0669	0.00151327	0	0
11	110	decycling	0.0192596	0.000110235	0.2846	0.0012	0	0
11	110	double	0.0193614	0.000379988	0.3346	0.00135647	0	0
11	110	decycling_set	0.0192903	5.26983E-05	0.1172	0.0006	0	0
11	110	pasha	0.0196881	0.000329303	0.1239	0.00280891	0	0
11	110	docks	0.0195688	0.000314057	0.119	0.00126491	0	0
11	120	random	0.0183475	0.000304517	0.0663	0.000640312	0	0
11	120	decycling	0.0176943	0.000197929	0.2888	0.0111247	0	0
11	120	double	0.0177335	0.000110238	0.3357	0.000458258	0	0
11	120	decycling_set	0.0177375	0.000286568	0.1169	0.00277308	0	0
11	120	pasha	0.0177585	0.00023419	0.1184	0.00261534	0	0
11	120	docks	0.0177642	0.000255289	0.1182	0.00362767	0	0
11	130	random	0.0170761	0.000644647	0.066	0.000894427	0	0
11	130	decycling	0.0161528	0.000137806	0.2888	0.0130905	0	0
11	130	double	0.0163214	0.000226069	0.3347	0.0011	0	0
11	130	decycling_set	0.0164092	0.000206007	0.1181	0.000943398	0	0
11	130	pasha	0.016618	0.000448195	0.1184	0.000916515	0	0
11	130	docks	0.0165848	0.000279971	0.1185	0.00196214	0	0
11	140	random	0.0160029	0.00112971	0.0657	0.00148661	0	0
11	140	decycling	0.0150345	0.00019916	0.2885	0.0118764	0	0
11	140	double	0.015018	9.24596E-05	0.3338	0.000979796	0	0
11	140	decycling_set	0.0149711	0.000278558	0.1129	0.0027	0	0
11	140	pasha	0.0152263	0.000158721	0.1177	0.000781025	0	0
11	140	docks	0.0150319	0.000297259	0.1158	0.00231517	0	0
11	150	random	0.0143468	0.000228513	0.0654	0.000663325	0	0
11	150	decycling	0.0142492	0.000197262	0.2855	0.00257876	0	0
11	150	double	0.014112	0.000195692	0.3355	0.0015	0	0
11	150	decycling_set	0.0141414	0.000185625	0.1142	0.000748331	0	0
11	150	pasha	0.014092	0.000263461	0.1167	0.00228254	0	0
11	150	docks	0.0140691	0.000112573	0.1181	0.00151327	0	0
11	160	random	0.0135031	0.000460369	0.0653	0.00100499	0	0
11	160	decycling	0.0132003	0.000196212	0.2891	0.0117597	0	0
11	160	double	0.013164	0.000196039	0.3347	0.000781025	0	0
11	160	decycling_set	0.0130128	0.000207079	0.1138	0.00404475	0	0
11	160	pasha	0.0131597	0.000288365	0.1167	0.0030348	0	0
11	160	docks	0.0130956	0.000111378	0.116	0.00334664	0	0
11	170	random	0.013137	0.000562501	0.0685	0.000921954	0	0
11	170	decycling	0.0124266	0.000137429	0.2845	0.00220227	0	0
11	170	double	0.0123215	7.69066E-05	0.3344	0.000663325	0	0
11	170	decycling_set	0.0123452	9.62127E-05	0.1163	0.00134536	0	0
11	170	pasha	0.0124888	0.000174643	0.1169	0.00273679	0	0
11	170	docks	0.0123339	0.000101054	0.1176	0.0008	0	0
11	180	random	0.0119351	0.000180808	0.0649	0.000538516	0	0
11	180	decycling	0.011656	0.000146655	0.2844	0.0032619	0	0
11	180	double	0.0116938	0.000111503	0.3345	0.000921954	0	0
11	180	decycling_set	0.0117355	0.000229841	0.1159	0.00104403	0	0
11	180	pasha	0.0117717	0.000210588	0.1175	0.0010247	0	0
11	180	docks	0.0116678	9.54428E-05	0.1161	0.00207123	0	0
11	190	random	0.0114248	0.000515652	0.0651	0.00104403	0	0
11	190	decycling	0.010982	0.000156102	0.2846	0.00253772	0	0
11	190	double	0.0109621	0.000219587	0.334	0.000447214	0	0
11	190	decycling_set	0.0109528	0.000103483	0.115	0.00189737	0	0
11	190	pasha	0.0110824	0.000105657	0.1172	0.0004	0	0
11	190	docks	0.011118	0.000169204	0.1168	0.000979796	0	0
11	200	random	0.0107464	0.000313516	0.0647	0.000640312	0	0
11	200	decycling	0.0105258	0.000155527	0.2876	0.0111553	0	0
11	200	double	0.0103427	0.000182665	0.3336	0.000916515	0	0
11	200	decycling_set	0.010594	0.00023864	0.1168	0.000748331	0	0
11	200	pasha	0.0105006	0.000192474	0.12	0.00118322	0	0
11	200	docks	0.0105134	0.000151602	0.1156	0.00287054	0	0
11	15	random	0.336783	0.0151181	0.1164	0.0051614	0	0
11	15	decycling	0.335357	0.0179637	0.3292	0.00376298	0	0
11	15	double	0.308798	0.00143146	0.3677	0.00464866	0	0
11	15	decycling_set	0.34046	0.0186364	0.1676	0.00233238	0	0
7	100	random	0.0215317	0.000511969	0.0671	0.0003	0	0
7	100	decycling	0.0211764	0.000251488	0.2502	0.00577581	0	0
7	100	double	0.0211187	0.000470273	0.2563	0.0021	0	0
7	100	decycling_set	0.0212028	0.000687467	0.0962	0.00166132	0	0
7	100	docks	0.0210562	0.0001379	0.0967	0.000458258	0	0
8	100	random	0.0221455	0.000570332	0.0675	0.000806226	0	0
8	100	decycling	0.0213643	0.000548511	0.2636	0.00346987	0	0
8	100	double	0.0212468	0.00032536	0.2781	0.00122066	0	0
8	100	decycling_set	0.0212745	0.000550525	0.094	0.000774597	0	0
8	100	docks	0.0210149	0.000170969	0.0938	0.0006	0	0
9	100	random	0.0220101	0.000424953	0.0718	0.0014	0	0
9	100	decycling	0.021386	0.000358851	0.2639	0.00122066	0	0
9	100	double	0.0212876	0.000190602	0.2909	0.00104403	0	0
9	100	decycling_set	0.0212675	0.000287204	0.0922	0.000748331	0	0
9	100	docks	0.0215088	0.000326241	0.0932	0.0004	0	0
10	100	random	0.0224875	0.000643819	0.0676	0.0010198	0	0
10	100	decycling	0.021191	0.000404832	0.2833	0.0133345	0	0
10	100	double	0.0212637	0.000180847	0.3133	0.0009	0	0
10	100	decycling_set	0.0212395	0.000116049	0.0941	0.00186815	0	0
10	100	docks	0.0213701	0.000423456	0.0946	0.0026533	0	0
11	100	random	0.0226685	0.0010521	0.0677	0.00126886	0	0
11	100	decycling	0.0212905	0.000241584	0.2859	0.000943398	0	0
11	100	double	0.0214628	0.000299911	0.3363	0.000640312	0	0
11	100	decycling_set	0.0213357	0.000308	0.1162	0.00384187	0	0
11	100	docks	0.0214485	0.000225083	0.1157	0.00400125	0	0
12	100	random	0.0226919	0.000377276	0.072	0.000894427	0	0
12	100	decycling	0.0214098	0.000205804	0.3034	0.00185472	0	0
12	100	double	0.0214517	0.000113916	0.3605	0.00067082	0	0
12	100	decycling_set	0.0214818	0.000235539	0.1282	0.00416653	0	0
13	100	random	0.0227192	0.000394101	0.0672	0.000748331	0	0
13	100	decycling	0.0215458	8.38268E-05	0.3118	0.0016	0	0
13	100	double	0.0215915	0.000135975	0.3811	0.0003	0	0
13	100	decycling_set	0.0215324	9.07122E-05	0.1414	0.000489898	0	0
14	100	random	0.0230534	0.00055649	0.0678	0.0006	0	0
14	100	decycling	0.0216702	0.000127276	0.3288	0.000979796	0	0
14	100	double	0.0216783	0.000117054	0.4036	0.000489898	0	0
14	100	decycling_set	0.0240105	0.00178881	0.1463	0.00818596	0	0
15	100	random	0.0239101	0.0013102	0.0678	0.0014	0	0
15	100	decycling	0.0218236	0.000115238	0.3402	0.00331059	0	0
15	100	double	0.0217405	4.85012E-05	0.4267	0.000458258	0	0
15	100	decycling_set	0.0238009	0.00167204	0.2751	0.00595735	0	0
5	100	random	0.0214465	0.00163392	0.0689	0.00280891	0	0
5	100	decycling	0.0213813	0.000567311	0.2368	0.00357211	0	0
5	100	double	0.0218403	0.00109234	0.2385	0.00283725	0	0
5	100	decycling_set	0.0214397	0.000877364	0.1103	0.00205183	0	0
6	100	random	0.0215112	0.000412799	0.0675	0.00067082	0	0
6	100	decycling	0.0210899	0.000259289	0.2643	0.0054231	0	0
6	100	double	0.0215184	0.000710706	0.261	0.00449444	0	0
6	100	decycling_set	0.0212554	0.000310347	0.1004	0.000916515	0	0
								
11	15	Miniception	0.3096307696	0.0151260174	26.8193416357	0.1776208031		
11	20	Miniception	0.1776114376	0.0101835945	26.177733779	0.241279225		
11	30	Miniception	0.0922035022	0.0029876211	25.5641987801	0.1078179684		
11	40	Miniception	0.063031493	0.0016910431	25.5183845282	0.0782574036		
11	50	Miniception	0.0486663587	0.0019835965	25.5141373634	0.1325664379		
11	60	Miniception	0.0388469588	0.0005356087	25.5548028946	0.1628791583		
11	70	Miniception	0.0326412526	0.0006250571	25.4942613125	0.0803112311		
11	80	Miniception	0.0280764781	0.0003633661	25.492310524	0.0623673235		
11	90	Miniception	0.025036235	0.0011793251	25.4746163368	0.1441012172		
11	100	Miniception	0.0221561522	0.000687296	25.5023268938	0.1309780119		
11	110	Miniception	0.02001137	0.0004817708	25.4859395981	0.1476599465		
11	120	Miniception	0.0180601181	0.0002897538	25.4931926727	0.1320392654		
11	130	Miniception	0.0165730366	0.000222334	25.5482451916	0.1231906276		
11	140	Miniception	0.0155150655	0.0004920849	25.4204090357	0.1349807927		
11	150	Miniception	0.0142119742	0.000300799	25.5006578445	0.1360344348		
11	160	Miniception	0.0133252033	0.0002916127	25.4965946913	0.1460147298		
11	170	Miniception	0.0125812826	0.0002731598	25.4385589123	0.1217048384		
11	180	Miniception	0.0117870718	0.0001523251	25.4439114094	0.1388098975		
11	190	Miniception	0.0110538811	0.0002389935	25.4662367344	0.1650676762		
11	200	Miniception	0.0106442806	0.0001392092	25.5240707397	0.1238174806		
20	30	Miniception	0.145246306	0.0053565797	26.0468609571	0.0755147358		
20	40	Miniception	0.084761691	0.0031472974	25.4062175512	0.0332086688		
20	50	Miniception	0.058928652	0.0023532333	25.3642907381	0.1050175896		
20	60	Miniception	0.0463711081	0.00092981	25.3540344477	0.0476416073		
20	70	Miniception	0.0366592697	0.0005569737	25.3100159407	0.0504741827		
20	80	Miniception	0.0312838194	0.0005128624	25.2799187183	0.072703029		
20	90	Miniception	0.0269603612	0.0005670296	25.2826563835	0.0361354772		
20	100	Miniception	0.0240391357	0.0003755725	25.3315229893	0.0629375137		
20	110	Miniception	0.0215444309	0.0005479802	25.3320132494	0.0856529556		
20	120	Miniception	0.0192132265	0.0002993783	25.2899810314	0.0848248179		
20	130	Miniception	0.0175076533	0.0003473244	25.310638237	0.050720545		
20	140	Miniception	0.0161499907	0.000274878	25.289585638	0.0839560904		
20	150	Miniception	0.015262799	0.0003001239	25.2631303072	0.0395760604		
20	160	Miniception	0.0139513765	0.0002123446	25.3235586643	0.1631411142		
20	170	Miniception	0.0131042249	0.0002451884	25.2757218838	0.0648321341		
20	180	Miniception	0.0122686333	0.0001358927	25.2911935806	0.0665568199		
20	190	Miniception	0.011557462	0.0001646011	25.2897959948	0.0455193312		
20	200	Miniception	0.0109291808	0.0001899075	25.2675284147	0.0821674182		
20	210	Miniception	0.0104212898	0.0002054727	25.3248077393	0.064456581		
20	220	Miniception	0.0098647087	0.0001802051	25.2756009102	0.0518946728		
20	230	Miniception	0.0096344383	0.0003387076	25.2517498016	0.0711531919		
20	240	Miniception	0.0091060573	0.0001726195	25.3155614614	0.0955465697		
20	250	Miniception	0.0085966863	7.00871226857006E-05	25.283433032	0.0571805996		
50	60	Miniception	0.1492165312	0.0048863682	27.141155839	0.0953606832		
50	70	Miniception	0.0784486244	0.0024448145	26.310288763	0.053311651		
50	80	Miniception	0.0541107751	0.0016239851	26.0827384949	0.0484815916		
50	90	Miniception	0.0416718542	0.0014822959	25.0405663013	0.050576549		
50	100	Miniception	0.0356805048	0.001193946	24.8068905354	0.0341491488		
50	110	Miniception	0.0297551658	0.0008510968	24.7823606253	0.0093284926		
50	120	Miniception	0.0264043094	0.0007018159	24.7605193615	0.0386082627		
50	130	Miniception	0.0237975266	0.0012022685	24.7803557158	0.0473421803		
50	140	Miniception	0.0209785328	0.0006176733	24.7694726706	0.0188384891		
50	150	Miniception	0.0188043021	0.0002106235	24.7742359638	0.0373411149		
50	160	Miniception	0.0171801542	0.0002501351	24.7390470505	0.0286998862		
50	170	Miniception	0.0157690173	0.0004541976	24.7423947096	0.0120487974		
50	180	Miniception	0.0149456132	0.0003836585	24.7296142578	0.0368969284		
50	190	Miniception	0.0136224367	0.0003311636	24.7249989271	0.0276534298		
50	200	Miniception	0.0127635525	0.0002912441	24.7276116848	0.0121494305		
50	210	Miniception	0.0119112084	0.0002650808	24.7246017694	0.0378873169		
50	220	Miniception	0.0112639352	0.0002793893	24.7284181595	0.0297063409		
50	230	Miniception	0.0107286726	0.0003903357	24.7221457005	0.0104414711		
50	240	Miniception	0.0100361592	0.0001684662	24.7232081413	0.0448382264		
50	250	Miniception	0.0095672269	0.0001770356	24.7191996336	0.0243177419		
50	260	Miniception	0.0092994456	0.0002331467	25.2919690371	0.1081532352		
50	270	Miniception	0.0086881426	0.0001563365	25.2214088917	0.062033196		
50	280	Miniception	0.0083803711	0.0001291879	25.2317274809	0.0304133427		
50	290	Miniception	0.0080489094	0.0001905096	25.2325489998	0.0340216924		
50	300	Miniception	0.0077858382	0.0002048812	25.2210277081	0.0520040676		
50	310	Miniception	0.0075040768	0.0002469724	25.2155145645	0.0178435536		
50	320	Miniception	0.0072017053	0.0001249952	25.2375818491	0.0187901588		
50	330	Miniception	0.0068878738	0.0001375947	25.2051156759	0.0510066615		
50	340	Miniception	0.0067071229	0.000140836	25.2179579973	0.0284669375		
50	350	Miniception	0.006529222	0.0001768097	25.2154393911	0.0295736778		
100	110	Miniception	0.1452983385	0.0048411427	27.3092187643	0.0825655282		
100	120	Miniception	0.0802084941	0.0039235168	26.6636082172	0.0601801198		
100	130	Miniception	0.0553099776	0.0024431956	26.3943837166	0.0394876092		
100	140	Miniception	0.0428595843	0.0030292741	26.184543705	0.0586890826		
100	150	Miniception	0.0334887815	0.0010193406	26.0884793758	0.0259706617		
100	160	Miniception	0.0277609348	0.0006935283	26.0072685003	0.0489561562		
100	170	Miniception	0.0234960926	0.0006742207	26.0368691206	0.0394489965		
100	180	Miniception	0.0213311212	0.0007852882	26.0277604103	0.031820572		
100	190	Miniception	0.0190856889	0.0010040311	25.0412137747	0.0311355582		
100	200	Miniception	0.0175665539	0.0006921059	24.7964138746	0.0556133915		
100	210	Miniception	0.0169852382	0.0008222597	24.8107010365	0.0495429711		
100	220	Miniception	0.0152451809	0.0008879577	24.8283368349	0.1182229752		
100	230	Miniception	0.0144325829	0.0008188824	24.7938015699	0.0520203468		
100	240	Miniception	0.013233461	0.0002679409	24.7851889849	0.0293767767		
100	250	Miniception	0.0125871946	0.0004312436	24.7991171122	0.0355845541		
100	260	Miniception	0.0122142209	0.0006701508	25.2773704529	0.0566051487		
100	270	Miniception	0.0110432793	0.0003684498	25.2711838722	0.0255506495		
100	280	Miniception	0.0107708666	0.0005034966	25.2784889936	0.0440511894		
100	290	Miniception	0.0099122781	0.0002349306	25.2707267046	0.0502692404		
100	300	Miniception	0.0094354334	0.000321389	25.3062513351	0.0151019393		
100	310	Miniception	0.0091860409	0.0002803109	25.2925626755	0.024238721		
100	320	Miniception	0.0086491556	0.0002853732	25.2805548429	0.0459646502		
100	330	Miniception	0.0082531117	0.0003328231	25.2930618286	0.0125172445		
100	340	Miniception	0.0081207204	0.000295718	25.300728178	0.0292609602		
100	350	Miniception	0.0076512357	0.0002787675	25.2801997662	0.0563319799		
100	360	Miniception	0.0073364226	0.0003079672	25.3064910173	0.0290399118		
100	370	Miniception	0.0071988013	0.0003125654	25.3167798281	0.0258662199		
100	380	Miniception	0.0068092174	0.0001886546	25.289137125	0.0410454013		
100	390	Miniception	0.006771367	0.0002802793	25.3377468586	0.0275117519		
100	400	Miniception	0.0064475738	0.0002767056	25.2934651613	0.0218272215		
100	410	Miniception	0.0062838622	0.0002200197	25.2834475517	0.0439773228		
100	420	Miniception	0.0060291897	5.65412362663956E-05	25.288905859	0.0368540929		
100	430	Miniception	0.005955389	0.0002947343	25.311564517	0.0410133906		
100	440	Miniception	0.005660156	0.00014468	25.3087216854	0.1241499795		
100	450	Miniception	0.0054413539	0.0001111973	25.3017732382	0.0366183039		
100	460	Miniception	0.0053431029	0.0002095165	25.2861477137	0.0242790641		
100	470	Miniception	0.0054303438	0.0003179102	25.2734062672	0.0444023359		
100	480	Miniception	0.00505065	0.0001281385	25.2936841011	0.0263639076		
100	490	Miniception	0.0049579291	0.0002349193	25.298708415	0.0148159598		
100	500	Miniception	0.0049117486	0.0001463877	25.2833710909	0.0399864223		
5	100	Miniception	0.0213429585	0.0010160747	31.2663195133	0.0616886541		
6	100	Miniception	0.0216018408	0.0013831984	28.8047166824	0.3394768755		
7	100	Miniception	0.0214927529	0.0008364695	27.5213687181	0.2240276803		
8	100	Miniception	0.0215883551	0.0004539211	26.7415514231	0.1007050126		
9	100	Miniception	0.0217292474	0.0004215458	26.1391783476	0.2134992227		
10	100	Miniception	0.0218137296	0.0003914942	25.6967121363	0.163437147		
11	100	Miniception	0.021990192	0.0004466543	25.4947527885	0.1466707069		
12	100	Miniception	0.0221188743	0.0002882617	25.3416111946	0.1266846082		
13	100	Miniception	0.0224213569	0.0004738336	25.0626621962	0.1000343641		
14	100	Miniception	0.0226350594	0.0005255707	24.9454589128	0.1136880088		
15	100	Miniception	0.022829642	0.0006543911	25.4521166086	0.0826469224		
7	100	pasha	0.0212761	0.000501603	0.0963	0.00155242	0	0
8	100	pasha	0.0213043	0.0002477	0.0948	0.00107703	0	0
9	100	pasha	0.0212982	0.000235067	0.0936	0.000916515	0	0
10	100	pasha	0.0213861	0.000178444	0.1	0.00428952	0	0
11	100	pasha	0.0216904	0.00051959	0.1186	0.00358329	0	0
12	100	pasha	0.0218534	0.000383963	0.1344	0.00449889	0	0
13	100	pasha	0.0218737	0.000190644	0.1492	0.00703989	0	0
